"startdate","enddate","Democrats","Republicans","Sample","Poll","knownDate"
2014-04-14,2014-04-20,40,41,"3500 LV","Rasmussen Reports",2014-04-21
2014-04-07,2014-04-13,40,38,"3500 LV","Rasmussen Reports",2014-04-15
2014-04-07,2014-04-10,48,42,"1036 RV","McClatchy/Marist",2014-04-12
2014-03-31,2014-04-06,40,39,"3500 LV","Rasmussen Reports",2014-04-08
2014-03-26,2014-03-31,40,38,"1578 RV","Quinnipiac",2014-04-02
2014-03-24,2014-03-30,39,38,"3500 LV","Rasmussen Reports",2014-04-01
2014-03-20,2014-03-23,39,39,"RV","CBS News",2014-03-25
2014-03-19,2014-03-23,44,43,"840 LV","NPR/GQR/Resurgent",2014-03-25
2014-03-17,2014-03-23,41,37,"3500 LV","Rasmussen Reports",2014-03-25
2014-03-16,2014-03-20,43,43,"1000 LV","GWU/Battleground",2014-03-22
2014-03-10,2014-03-16,38,39,"3500 LV","Rasmussen Reports",2014-03-18
2014-03-06,2014-03-09,43,40,"1152 RV","PPP (D)",2014-03-11
2014-03-03,2014-03-09,39,39,"3500 LV","Rasmussen Reports",2014-03-11
2014-03-02,2014-03-04,36,33,"rv","Anderson Robbins Research/Shaw & Co. Research!!Fox News",2014-03-06
2014-03-02,2014-03-04,40,38,"1002 RV","FOX News",2014-03-06
2014-02-27,2014-03-02,46,45,"RV","ABC News/Wash Post",2014-03-04
2014-02-24,2014-03-02,39,36,"3500 LV","Rasmussen Reports",2014-03-04
2014-02-19,2014-02-23,39,42,"RV","CBS News/NY Times",2014-02-25
2014-02-17,2014-02-23,41,37,"3500 LV","Rasmussen Reports",2014-02-25
2014-02-10,2014-02-16,41,37,"3500 LV","Rasmussen Reports",2014-02-18
2014-02-04,2014-02-09,46,44,"970 RV","McClatchy/Marist",2014-02-11
2014-02-03,2014-02-09,40,38,"3500 LV","Rasmussen Reports",2014-02-11
2014-01-27,2014-02-02,39,40,"3500 LV","Rasmussen Reports",2014-02-04
2014-01-23,2014-01-26,40,42,"845 RV","PPP (D)",2014-01-28
2014-01-20,2014-01-26,42,37,"3500 LV","Rasmussen Reports",2014-01-28
2014-01-20,2014-01-23,45,45,"a","ABC News/Washington Post!!",2014-01-25
2014-01-20,2014-01-23,45,46,"RV","ABC News/Wash Post",2014-01-25
2014-01-19,2014-01-21,41,43,"1010 RV","FOX News",2014-01-23
2014-01-15,2014-01-19,37,38,"1933 RV","Quinnipiac",2014-01-21
2014-01-13,2014-01-19,41,35,"3500 LV","Rasmussen Reports",2014-01-21
2014-01-12,2014-01-16,41,43,"1000 LV","GWU/Battleground",2014-01-18
2014-01-06,2014-01-12,41,37,"3500 LV","Rasmussen Reports",2014-01-14
2014-01-04,2014-01-07,37,38,"1487 RV","Quinnipiac",2014-01-09
2013-12-26,2013-12-30,46,35,"3000 LV","Rasmussen Reports",2014-01-01
2013-12-23,2013-12-29,40,40,"3500 LV","Rasmussen Reports",2013-12-31
2013-12-16,2013-12-22,39,42,"3500 LV","Rasmussen Reports",2013-12-24
2013-12-17,2013-12-22,44,38,"3500 LV","Rasmussen Reports",2013-12-24
2013-12-16,2013-12-19,40,44,"a","ORC International!!Cable News Network",2013-12-21
2013-12-16,2013-12-19,28,31,"a","ORC International!!Cable News Network",2013-12-21
2013-12-16,2013-12-19,44,49,"950 RV","CNN/Opinion Research",2013-12-21
2013-12-14,2013-12-16,43,43,"1027 RV","FOX News",2013-12-18
2013-12-10,2013-12-16,46,38,"3500 LV","Rasmussen Reports",2013-12-18
2013-12-12,2013-12-15,47,45,"RV","ABC News/Wash Post",2013-12-17
2013-12-12,2013-12-15,43,40,"1316 RV","PPP (D)",2013-12-17
2013-12-09,2013-12-15,40,40,"3500 LV","Rasmussen Reports",2013-12-17
2013-12-03,2013-12-09,38,41,"2692 RV","Quinnipiac",2013-12-11
2013-12-03,2013-12-09,46,36,"3500 LV","Rasmussen Reports",2013-12-11
2013-12-03,2013-12-08,48,44,"1579 RV","USA Today/Pew Research",2013-12-10
2013-12-02,2013-12-08,38,43,"3500 LV","Rasmussen Reports",2013-12-10
2013-12-02,2013-12-06,45,42,"1000 LV","Politico/GWU/Battleground",2013-12-08
2013-12-03,2013-12-05,43,43,"988 RV","McClatchy/Marist",2013-12-07
