"startdate","category","A0","B0","enddate","D0","E0","F0","pres","knownDate","presparty"
NA,NA,45,49,2014-04-19,NA,NA,NA,"Obama",2014-04-21,"D"
NA,NA,45,49,2014-04-18,NA,NA,NA,"Obama",2014-04-19,"D"
NA,NA,43,50,2014-04-17,NA,NA,NA,"Obama",2014-04-18,"D"
NA,NA,42,51,2014-04-16,NA,NA,NA,"Obama",2014-04-17,"D"
NA,NA,42,52,2014-04-15,NA,NA,NA,"Obama",2014-04-17,"D"
NA,NA,43,51,2014-04-14,NA,NA,NA,"Obama",2014-04-15,"D"
NA,NA,44,50,2014-04-13,NA,NA,NA,"Obama",2014-04-15,"D"
NA,NA,43,51,2014-04-12,NA,NA,NA,"Obama",2014-04-13,"D"
NA,NA,43,51,2014-04-11,NA,NA,NA,"Obama",2014-04-12,"D"
NA,NA,42,52,2014-04-10,NA,NA,NA,"Obama",2014-04-12,"D"
NA,NA,42,52,2014-04-09,NA,NA,NA,"Obama",2014-04-11,"D"
NA,NA,44,51,2014-04-08,NA,NA,NA,"Obama",2014-04-10,"D"
NA,NA,44,51,2014-04-07,NA,NA,NA,"Obama",2014-04-09,"D"
NA,NA,44,52,2014-04-06,NA,NA,NA,"Obama",2014-04-08,"D"
NA,NA,42,53,2014-04-05,NA,NA,NA,"Obama",2014-04-07,"D"
NA,NA,43,53,2014-04-04,NA,NA,NA,"Obama",2014-04-06,"D"
NA,NA,45,50,2014-04-03,NA,NA,NA,"Obama",2014-04-05,"D"
NA,NA,45,50,2014-04-02,NA,NA,NA,"Obama",2014-04-04,"D"
NA,NA,44,50,2014-04-01,NA,NA,NA,"Obama",2014-04-03,"D"
NA,NA,44,51,2014-03-31,NA,NA,NA,"Obama",2014-04-02,"D"
NA,NA,45,50,2014-03-30,NA,NA,NA,"Obama",2014-04-01,"D"
NA,NA,43,52,2014-03-29,NA,NA,NA,"Obama",2014-03-31,"D"
NA,NA,43,52,2014-03-28,NA,NA,NA,"Obama",2014-03-30,"D"
NA,NA,40,54,2014-03-27,NA,NA,NA,"Obama",2014-03-29,"D"
NA,NA,42,53,2014-03-26,NA,NA,NA,"Obama",2014-03-28,"D"
NA,NA,42,52,2014-03-25,NA,NA,NA,"Obama",2014-03-27,"D"
NA,NA,45,50,2014-03-24,NA,NA,NA,"Obama",2014-03-26,"D"
NA,NA,44,51,2014-03-23,NA,NA,NA,"Obama",2014-03-25,"D"
NA,NA,43,53,2014-03-22,NA,NA,NA,"Obama",2014-03-24,"D"
NA,NA,40,55,2014-03-21,NA,NA,NA,"Obama",2014-03-23,"D"
