class,year,postal,office,offyear,demPctMajor,RaceNotes
ii,1990,AL,al-senate-class-ii-1990,1,60.57,
ii,1990,AK,ak-senate-class-ii-1990,1,32.71,
ii,1990,AR,ar-senate-class-ii-1990,1,100,
ii,1990,CO,co-senate-class-ii-1990,1,42.8,
ii,1990,DE,de-senate-class-ii-1990,1,63.63,
ii,1990,GA,ga-senate-class-ii-1990,1,100,
ii,1990,ID,id-senate-class-ii-1990,1,38.71,
ii,1990,IL,il-senate-class-ii-1990,1,65.07,
ii,1990,IA,ia-senate-class-ii-1990,1,54.53,
ii,1990,KS,ks-senate-class-ii-1990,1,26.4,
ii,1990,KY,ky-senate-class-ii-1990,1,47.81,
ii,1990,LA,la-senate-class-ii-1990,1,55.35,"Results are from the October 6th Primary.  Since one candidate received the majority of the vote, no general (run-off) election was required."
ii,1990,ME,me-senate-class-ii-1990,1,38.65,
ii,1990,MA,ma-senate-class-ii-1990,1,57.1,
ii,1990,MI,mi-senate-class-ii-1990,1,58.23,
ii,1990,MN,mn-senate-class-ii-1990,1,51.34,
ii,1990,MS,ms-senate-class-ii-1990,1,0,Wayne county did not report votes for the unopposed candidate Thad Cochran; therefore the certified results do not include any returns for Wayne county.
ii,1990,MT,mt-senate-class-ii-1990,1,69.87,
ii,1990,NE,ne-senate-class-ii-1990,1,59.01,
ii,1990,NH,nh-senate-class-ii-1990,1,32.48,
ii,1990,NJ,nj-senate-class-ii-1990,1,51.55,
ii,1990,NM,nm-senate-class-ii-1990,1,27.05,
ii,1990,NC,nc-senate-class-ii-1990,1,47.44,
ii,1990,OK,ok-senate-class-ii-1990,1,83.18,
ii,1990,OR,or-senate-class-ii-1990,1,46.25,
ii,1990,RI,ri-senate-class-ii-1990,1,61.83,
ii,1990,SC,sc-senate-class-ii-1990,1,33.62,
ii,1990,SD,sd-senate-class-ii-1990,1,46.25,
ii,1990,TN,tn-senate-class-ii-1990,1,69.43,
ii,1990,TX,tx-senate-class-ii-1990,1,38.31,
ii,1990,VA,va-senate-class-ii-1990,1,0,
ii,1990,WV,wv-senate-class-ii-1990,1,68.32,
ii,1990,WY,wy-senate-class-ii-1990,1,36.06,
ii,1990,NA,NA-senate-class-ii-1990,1,NA,
ii,1990,NA,NA-senate-class-ii-1990,1,NA,
ii,1990,NA,NA-senate-class-ii-1990,1,NA,
i,1988,AZ,az-senate-class-i-1988,0,58.01,
i,1988,CA,ca-senate-class-i-1988,0,45.46,
i,1988,CT,ct-senate-class-i-1988,0,50.37,
i,1988,DE,de-senate-class-i-1988,0,37.94,
i,1988,FL,fl-senate-class-i-1988,0,49.58,
i,1988,HI,hi-senate-class-i-1988,0,78.73,
i,1988,IN,in-senate-class-i-1988,0,31.86,
i,1988,ME,me-senate-class-i-1988,0,81.2,
i,1988,MD,md-senate-class-i-1988,0,61.8,
i,1988,MA,ma-senate-class-i-1988,0,65.69,
i,1988,MI,mi-senate-class-i-1988,0,61.09,
i,1988,MN,mn-senate-class-i-1988,0,0,"The other vote was: Humphrey, Hubert H. III (Democrat Farmer-Labor) 856,694"
i,1988,MS,ms-senate-class-i-1988,0,46.09,
i,1988,MO,mo-senate-class-i-1988,0,31.93,
i,1988,MT,mt-senate-class-i-1988,0,48.13,
i,1988,NE,ne-senate-class-i-1988,0,57.65,
i,1988,NV,nv-senate-class-i-1988,0,52.11,
i,1988,NJ,nj-senate-class-i-1988,0,54.24,
i,1988,NM,nm-senate-class-i-1988,0,63.31,
i,1988,NY,ny-senate-class-i-1988,0,68.34,
i,1988,ND,nd-senate-class-i-1988,0,60.35,
i,1988,OH,oh-senate-class-i-1988,0,56.98,
i,1988,PA,pa-senate-class-i-1988,0,32.81,
i,1988,RI,ri-senate-class-i-1988,0,45.41,
i,1988,TN,tn-senate-class-i-1988,0,65.34,
i,1988,TX,tx-senate-class-i-1988,0,59.67,
i,1988,UT,ut-senate-class-i-1988,0,32.1,
i,1988,VT,vt-senate-class-i-1988,0,30.45,
i,1988,VA,va-senate-class-i-1988,0,71.29,
i,1988,WA,wa-senate-class-i-1988,0,48.91,
i,1988,WV,wv-senate-class-i-1988,0,64.77,
i,1988,WI,wi-senate-class-i-1988,0,52.27,
i,1988,WY,wy-senate-class-i-1988,0,49.63,
i,1988,NA,NA-senate-class-i-1988,0,NA,
i,1988,NA,NA-senate-class-i-1988,0,NA,
i,1988,NA,NA-senate-class-i-1988,0,NA,
iii,1986,AL,al-senate-class-iii-1986,1,50.28,NA
