"year","state","candidate","last","xx","office","party","vote","incumbent","win","postal","class","votesmartid","fecid","fecid.note","slug","serious","day_in","day_out","city council","state rep","mayor","state senate","state ag","lt gov","us rep","gov","us senate"
2014,"Alaska","Mark Begich","Begich","2014AKBegich","ak-senate-class-ii-2014","D",NA,"1",NA,"AK","ii","79426","S8AK00090","","mark-begich",1,9999,9999,0,0,1,0,0,0,0,0,1
2014,"Alaska","William Bryk","Bryk","2014AKBryk","ak-senate-class-ii-2014","D",NA,"0",NA,"AK","ii","145961","S0ID00099","","william-bryk",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Alaska","John Jaramillo","Jaramillo","2014AKJaramillo","ak-senate-class-ii-2014","R",NA,"0",NA,"AK","ii","145952","S4AK00198","","john-jaramillo",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Alaska","Joe Miller","Miller","2014AKMiller","ak-senate-class-ii-2014","R",NA,"0",NA,"AK","ii","27169","S0AK00121","","joe-miller",1,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Alaska","Sarah Palin","Palin","2014AKPalin","ak-senate-class-ii-2014","R",NA,"0",NA,"AK","ii","27200","#N/A","","sarah-palin",0,9999,9999,0,0,0,0,0,0,0,1,0
2014,"Alaska","Daniel S. Sullivan","Sullivan","2014AKSullivan","ak-senate-class-ii-2014","R",NA,"0",NA,"AK","ii","114964","S4AK00214","","daniel-s-sullivan",1,9999,9999,0,0,0,0,1,0,0,0,0
2014,"Alaska","Kathleen Tonn","Tonn","2014AKTonn","ak-senate-class-ii-2014","R",NA,"0",NA,"AK","ii","145954","#N/A","no id","kathleen-tonn",0,9999,9999,0,0,0,0,0,0,0,0,0
2014,"Alaska","Mead Treadwell","Treadwell","2014AKTreadwell","ak-senate-class-ii-2014","R",NA,"0",NA,"AK","ii","123210","S4AK00206","","mead-treadwell",1,9999,9999,0,0,0,0,0,1,0,0,0
2014,"Alabama","Jeff Sessions","Sessions","2014ALSessions","al-senate-class-ii-2014","R",NA,"1",NA,"AL","ii","443","S6AL00195","","jeff-sessions",1,9999,9999,0,0,0,0,1,0,0,0,1
2014,"Arkansas","Tom Cotton","Cotton","2014ARCotton","ar-senate-class-ii-2014","R",NA,"0",NA,"AR","ii","135651","S4AR00103","","thomas-cotton-1",1,9999,9999,0,0,0,0,0,0,1,0,0
