nyt_name,slug,state_id
Lamar Alexander,lamar-alexander,TN
Joseph R. Biden Jr.,joe-biden,DE
Michael N. Castle,michael-n-castle,DE
Bob Dole,bob-dole,KS
Newt Gingrich,newt-gingrich,GA
Orrin G. Hatch,orrin-g-hatch,UT
Jack F. Kemp,jack-kemp,NY
Edward M. Kennedy,ted-kennedy,MA
Sander M. Levin,sander-m-levin,MI
Richard G. Lugar,richard-g-lugar,IN
Edward J. Markey,edward-j-markey,MA
Arlen Specter,arlen-specter,PA
Ike Skelton,ike-skelton,MO
Robert C. Byrd,robert-c-byrd,WV
James L. Oberstar,james-l-oberstar,MN
John D. Dingell,john-d-dingell,MI
Paul G. Kirk Jr.,paul-g-kirk-jr,MA
Jeff Bingaman,jeff-bingaman,NM
George Miller,george-miller,CA
Thomas R. Carper,thomas-r-carper,DE
Eleanor Holmes Norton,eleanor-holmes-norton,DC
Bernard Sanders,bernie-sanders,VT
Charles E. Grassley,charles-e-grassley,IA
Sue Myrick,sue-myrick,NC
Thad Cochran,thad-cochran,MS
Jim Cooper ,jim-cooper,TN
John D. Rockefeller IV,john-d-rockefeller-iv,WV
Barbara A. Mikulski,barbara-a-mikulski,MD
David E. Bonior,david-e-bonior,MI
Jim Bunning,jim-bunning,KY
Marcy Kaptur,marcy-kaptur,OH
John Kerry,john-kerry,MA
F. James Sensenbrenner Jr.,f-james-sensenbrenner,WI
Patrick J. Leahy,patrick-j-leahy,VT
Howard L. Berman,howard-l-berman,CA
David R. Obey,david-r-obey,WI
Christopher J. Dodd,chris-dodd,CT
Harry Reid,harry-reid,NV
Max Baucus,max-baucus,MT
Charles B. Rangel,charles-b-rangel,NY
Louise M. Slaughter,louise-m-slaughter,NY
George V. Voinovich,george-v-voinovich,OH
John Conyers Jr.,john-conyers-jr,MI
Alcee L. Hastings,alcee-l-hastings,FL
Richard C. Shelby,richard-c-shelby,AL
Don Young,don-young,AK
Jim Webb,jim-webb,VA
Steny H. Hoyer,steny-h-hoyer,MD
Bill Nelson,bill-nelson,FL
Maxine Waters,maxine-waters,CA
Ron Wyden,ron-wyden,OR
Dan Burton,dan-burton,IN
Tom Harkin,tom-harkin,IA
Solomon P. Ortiz,solomon-p-ortiz,TX
Byron L. Dorgan,byron-l-dorgan,ND
Mitch McConnell,mitch-mcconnell,KY
Christopher S. Bond,christopher-bond,MO
Roland W. Burris,roland-w-burris,IL
Barbara Boxer,barbara-boxer,CA
Frank R. Lautenberg,frank-r-lautenberg,NJ
Kent Conrad,kent-conrad,ND
John Lewis,john-lewis,GA
Tim Johnson,tim-johnson,SD
Daniel K. Inouye,daniel-k-inouye,HI
Carl Levin,carl-levin,MI
Judd Gregg,judd-gregg,NH
Elizabeth H. Dole,elizabeth-dole,NC
Tom Petri ,tom-petri,WI
Ileana Ros-Lehtinen,ileana-ros-lehtinen,FL
Olympia J. Snowe,olympia-j-snowe,ME
Benjamin L. Cardin,benjamin-l-cardin,MD
Herb Kohl,herb-kohl,WI
James P. Moran ,james-p-moran-jr,VA
Joseph I. Lieberman,joseph-i-lieberman,CT
Diane Watson,diane-watson,CA
David Schweikert,david-schweikert,AZ
Joe L. Barton ,joe-l-barton,TX
C.W. Bill Young,c-w-bill-young,FL
Bart Gordon,bart-gordon,TN
John P. Murtha,john-p-murtha,PA
Dana Rohrabacher,dana-rohrabacher,CA
Evan Bayh,evan-bayh,IN
Jim McDermott ,jim-mcdermott,WA
Charles E. Schumer,charles-e-schumer,NY
Paul E. Kanjorski,paul-e-kanjorski,PA
Peter A. DeFazio ,peter-a-defazio,OR
Daniel Coats,daniel-coats,IN
Cliff Stearns,cliff-stearns,FL
Richard E. Neal,richard-e-neal,MA
Frank Pallone Jr.,frank-pallone,NJ
Donald M. Payne,donald-m-payne,NJ
Eliot L. Engel,eliot-l-engel,NY
Nita M. Lowey,nita-m-lowey,NY
John J. Duncan Jr.,john-j-duncan-jr,TN
John Tanner,john-tanner,TN
Nancy Pelosi,nancy-pelosi,CA
Jerry F. Costello,jerry-f-costello,IL
Christopher H. Smith,christopher-h-smith,NJ
Elton Gallegly,elton-gallegly,CA
Eni F. H. Faleomavaega,eni-f-h-faleomavaega,AS
Rick Boucher,rick-boucher,VA
Harold Rogers,harold-rogers,KY
Richard J. Durbin,richard-j-durbin,IL
Dale E. Kildee,dale-e-kildee,MI
Pete Stark,pete-stark,CA
David E. Price,david-e-price,NC
Peter J. Visclosky,peter-j-visclosky,IN
Edolphus Towns,edolphus-towns,NY
Howard Coble,howard-coble,NC
Bennie Thompson,bennie-thompson,MS
Ralph M. Hall ,ralph-m-hall,TX
John McCain,john-mccain,AZ
Frank R. Wolf ,frank-r-wolf,VA
Joe Walsh,joe-walsh,IL
Patrick J. Toomey,patrick-j-toomey,PA
Norman D. Dicks,norman-d-dicks,WA
Nick J. Rahall II,nick-j-rahall-ii,WV
Henry A. Waxman,henry-a-waxman,CA
Alan B. Mollohan,alan-b-mollohan,WV
Jon Kyl,jon-kyl,AZ
Daniel K. Akaka,daniel-k-akaka,HI
Lamar Smith ,lamar-smith,TX
David Dreier,david-dreier,CA
Emanuel Cleaver II,emanuel-cleaver-ii,MO
Earl Pomeroy,earl-pomeroy,ND
Tom Graves,tom-graves,GA
Joe Pitts ,joe-pitts,PA
Steve Pearce,steve-pearce,NM
Fred Upton,fred-upton,MI
Baron P. Hill,baron-p-hill,IN
Wally Herger,wally-herger,CA
Dianne Feinstein,dianne-feinstein,CA
John M. Spratt Jr.,john-m-spratt-jr,SC
Jose E. Serrano,jose-e-serrano,NY
Pat Roberts,pat-roberts,KS
Jane Harman,jane-harman,CA
John A. Boehner,john-a-boehner,OH
Rick Santorum,rick-santorum,PA
Neil Abercrombie,neil-abercrombie,HI
Ben Nelson,ben-nelson,NE
Patrick J. Kennedy,patrick-j-kennedy,RI
Roger Wicker,roger-wicker,MS
John Garamendi,john-garamendi,CA
Wayne A. Allard,wayne-a-allard,CO
Mark Warner,mark-warner,VA
Sam Johnson ,sam-johnson,TX
John W. Olver,john-w-olver,MA
Rosa DeLauro,rosa-delauro,CT
Jim Costa,jim-costa,CA
Robert E. Andrews,robert-e-andrews,NJ
Ed Pastor,ed-pastor,AZ
Chet Edwards,chet-edwards,TX
Chris Van Hollen,chris-van-hollen,MD
James E. Clyburn ,james-e-clyburn,SC
Niki Tsongas,niki-tsongas,MA
Richard Blumenthal,richard-blumenthal,CT
Stephanie Herseth Sandlin,stephanie-herseth-sandlin,SD
Mary L. Landrieu,mary-l-landrieu,LA
Dan Lungren,dan-lungren,CA
Jeanne Shaheen,jeanne-shaheen,NH
Dave Camp,dave-camp,MI
Al Franken,al-franken,MN
Eddie Bernice Johnson ,eddie-bernice-johnson,TX
Luis V. Gutierrez,luis-v-gutierrez,IL
Collin C. Peterson,collin-c-peterson,MN
Jack Reed,jack-reed,RI
Kay Bailey Hutchison,kay-bailey-hutchison,TX
Russ Feingold,russ-feingold,WI
Patty Murray,patty-murray,WA
Robert F. Bennett,robert-f-bennett,UT
Lincoln Diaz-Balart,lincoln-diaz-balart,FL
Robert C. Scott ,robert-c-scott,VA
Melvin Watt,melvin-watt,NC
Bobby L. Rush,bobby-l-rush,IL
Anna G. Eshoo,anna-g-eshoo,CA
Lynn Woolsey,lynn-woolsey,CA
Bob Filner,bob-filner,CA
Lucille Roybal-Allard,lucille-roybal-allard,CA
Maria Cantwell,maria-cantwell,WA
Jay Inslee,jay-inslee,WA
Gene Green ,gene-green,TX
Jerrold L. Nadler,jerrold-nadler,NY
Nydia M. Velelazquez,nydia-m-velazquez,NY
Carolyn B. Maloney,carolyn-b-maloney,NY
Maurice D. Hinchey,maurice-d-hinchey,NY
Sherrod Brown,sherrod-brown,OH
Corrine Brown,corrine-brown,FL
Sanford D. Bishop Jr.,sanford-d-bishop-jr,GA
Blanche Lincoln,blanche-lincoln,AR
John Linder,john-linder,GA
John L. Mica,john-l-mica,FL
Spencer Bachus,spencer-bachus,AL
Michael D. Crapo,michael-d-crapo,ID
Bob Inglis,bob-inglis,SC
Steve Buyer,steve-buyer,IN
Jack Kingston,jack-kingston,GA
Donald Manzullo,donald-manzullo,IL
Howard P. McKeon,howard-p-mckeon,CA
John M. McHugh,john-m-mchugh,NY
Peter T. King,peter-t-king,NY
Pete Hoekstra,pete-hoekstra,MI
Xavier Becerra,xavier-becerra,CA
Doris Matsui,doris-matsui,CA
Ken Calvert,ken-calvert,CA
Robert W. Goodlatte ,robert-w-goodlatte,VA
Roscoe G. Bartlett,roscoe-g-bartlett,MD
Spencer Abraham,spencer-abraham,MI
Ed Royce,ed-royce,CA
Nathan Deal,nathan-deal,GA
Robert Menendez,robert-menendez,NJ
Tim Holden,tim-holden,PA
Lou Barletta ,lou-barletta,PA
Tom McClintock,tom-mcclintock,CA
Daniel Webster,daniel-webster,FL
John Shimkus,john-shimkus,IL
Sam Farr,sam-farr,CA
Frank A. LoBiondo,frank-a-lobiondo,NJ
Richard M. Burr,richard-m-burr,NC
Marsha Blackburn ,marsha-blackburn,TN
Doc Hastings ,doc-hastings,WA
Rob Portman,rob-portman,OH
Michael G. Fitzpatrick ,michael-g-fitzpatrick,PA
Vernon J. Ehlers,vernon-j-ehlers,MI
Frank D. Lucas ,frank-d-lucas,OK
Anthony D. Weiner,anthony-weiner,NY
Zoe Lofgren,zoe-lofgren,CA
George P. Radanovich,george-p-radanovich,CA
Brian P. Bilbray,brian-p-bilbray,CA
Saxby Chambliss,saxby-chambliss,GA
Gerald C. Weller,gerald-c-weller,IL
John B. Larson,john-b-larson,CT
