year,class,state,special notes,wikipediaLink,postal,office,,
1992,iii,Alabama,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Alabama,_1992",AL,al-senate-class-iii-1992,,
1992,iii,Alaska,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Alaska,_1992",AK,ak-senate-class-iii-1992,,
1992,iii,Arizona,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Arizona,_1992",AZ,az-senate-class-iii-1992,,
1992,iii,Arkansas,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Arkansas,_1992",AR,ar-senate-class-iii-1992,,
1992,i,California,Special: Class 1,"http://en.wikipedia.org/wiki/United_States_Senate_special_election_in_California,_1992",CA,ca-senate-class-i-1992,seymour,done
1992,iii,California,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_California,_1992",CA,ca-senate-class-iii-1992,,
1992,iii,Colorado,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Colorado,_1992",CO,co-senate-class-iii-1992,,
1992,iii,Connecticut,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Connecticut,_1992",CT,ct-senate-class-iii-1992,,
1992,iii,Florida,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Florida,_1992",FL,fl-senate-class-iii-1992,,
1992,iii,Georgia,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Georgia,_1992",GA,ga-senate-class-iii-1992,,
1992,iii,Hawaii,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Hawaii,_1992",HI,hi-senate-class-iii-1992,,
1992,iii,Idaho,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Idaho,_1992",ID,id-senate-class-iii-1992,,
1992,iii,Illinois,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Illinois,_1992",IL,il-senate-class-iii-1992,,
1992,iii,Indiana,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Indiana,_1992",IN,in-senate-class-iii-1992,,
1992,iii,Iowa,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Iowa,_1992",IA,ia-senate-class-iii-1992,,
1992,iii,Kansas,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Kansas,_1992",KS,ks-senate-class-iii-1992,,
1992,iii,Kentucky,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Kentucky,_1992",KY,ky-senate-class-iii-1992,,
1992,iii,Louisiana,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Louisiana,_1992",LA,la-senate-class-iii-1992,,
1992,iii,Maryland,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Maryland,_1992",MD,md-senate-class-iii-1992,,
1992,iii,Missouri,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Missouri,_1992",MO,mo-senate-class-iii-1992,,
1992,iii,Nevada,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Nevada,_1992",NV,nv-senate-class-iii-1992,,
1992,iii,New Hampshire,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_New_Hampshire,_1992",NH,nh-senate-class-iii-1992,,
1992,iii,New York,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_New_York,_1992",NY,ny-senate-class-iii-1992,,
1992,iii,North Carolina,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_North_Carolina,_1992",NC,nc-senate-class-iii-1992,,
1992,iii,North Dakota,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_North_Dakota,_1992",ND,nd-senate-class-iii-1992,,
1992,i,North Dakota,Special: Class 1,"http://en.wikipedia.org/wiki/United_States_Senate_special_election_in_North_Dakota,_1992",ND,nd-senate-class-i-1992,,
1992,iii,Ohio,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Ohio,_1992",OH,oh-senate-class-iii-1992,,
1992,iii,Oklahoma,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Oklahoma,_1992",OK,ok-senate-class-iii-1992,,
1992,iii,Oregon,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Oregon,_1992",OR,or-senate-class-iii-1992,,
1992,iii,Pennsylvania,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Pennsylvania,_1992",PA,pa-senate-class-iii-1992,,
1992,iii,South Carolina,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_South_Carolina,_1992",SC,sc-senate-class-iii-1992,,
1992,iii,South Dakota,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_South_Dakota,_1992",SD,sd-senate-class-iii-1992,,
1992,iii,Utah,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Utah,_1992",UT,ut-senate-class-iii-1992,,
1992,iii,Vermont,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Vermont,_1992",VT,vt-senate-class-iii-1992,,
1992,iii,Washington,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Washington,_1992",WA,wa-senate-class-iii-1992,,
1992,iii,Wisconsin,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Wisconsin,_1992",WI,wi-senate-class-iii-1992,,
1994,i,Arizona,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Arizona,_1994",AZ,az-senate-class-i-1994,,
1994,i,California,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_California,_1994",CA,ca-senate-class-i-1994,,
1994,i,Connecticut,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Connecticut,_1994",CT,ct-senate-class-i-1994,,
1994,i,Delaware,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Delaware,_1994",DE,de-senate-class-i-1994,,
1994,i,Florida,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Florida,_1994",FL,fl-senate-class-i-1994,,
1994,i,Hawaii,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Hawaii,_1994",HI,hi-senate-class-i-1994,,
1994,i,Indiana,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Indiana,_1994",IN,in-senate-class-i-1994,,
1994,i,Maine,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Maine,_1994",ME,me-senate-class-i-1994,,
1994,i,Maryland,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Maryland,_1994",MD,md-senate-class-i-1994,,
1994,i,Massachusetts,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Massachusetts,_1994",MA,ma-senate-class-i-1994,,
1994,i,Michigan,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Michigan,_1994",MI,mi-senate-class-i-1994,,
1994,i,Minnesota,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Minnesota,_1994",MN,mn-senate-class-i-1994,,
1994,i,Mississippi,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Mississippi,_1994",MS,ms-senate-class-i-1994,,
1994,i,Missouri,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Missouri,_1994",MO,mo-senate-class-i-1994,,
1994,i,Montana,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Montana,_1994",MT,mt-senate-class-i-1994,,
1994,i,Nebraska,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Nebraska,_1994",NE,ne-senate-class-i-1994,,
1994,i,Nevada,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Nevada,_1994",NV,nv-senate-class-i-1994,,
1994,i,New Jersey,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_New_Jersey,_1994",NJ,nj-senate-class-i-1994,,
1994,i,New Mexico,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_New_Mexico,_1994",NM,nm-senate-class-i-1994,,
1994,i,New York,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_New_York,_1994",NY,ny-senate-class-i-1994,,
1994,i,North Dakota,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_North_Dakota,_1994",ND,nd-senate-class-i-1994,,
1994,i,Ohio,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Ohio,_1994",OH,oh-senate-class-i-1994,,
1994,ii,Oklahoma,Special: Class 2,"http://en.wikipedia.org/wiki/United_States_Senate_special_election_in_Oklahoma,_1994",OK,ok-senate-class-ii-1994,no incumbent,done
1994,i,Pennsylvania,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Pennsylvania,_1994",PA,pa-senate-class-i-1994,,
1994,i,Rhode Island,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Rhode_Island,_1994",RI,ri-senate-class-i-1994,,
1994,i,Tennessee,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Tennessee,_1994",TN,tn-senate-class-i-1994,,
1994,ii,Tennessee,Special: Class 2,"http://en.wikipedia.org/wiki/United_States_Senate_special_election_in_Tennessee,_1994",TN,tn-senate-class-ii-1994,no incumbent,done
1994,i,Texas,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Texas,_1994",TX,tx-senate-class-i-1994,,
1994,i,Utah,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Utah,_1994",UT,ut-senate-class-i-1994,,
1994,i,Vermont,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Vermont,_1994",VT,vt-senate-class-i-1994,,
1994,i,Virginia,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Virginia,_1994",VA,va-senate-class-i-1994,,
1994,i,Washington,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Washington,_1994",WA,wa-senate-class-i-1994,,
1994,i,West Virginia,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_West_Virginia,_1994",WV,wv-senate-class-i-1994,,
1994,i,Wisconsin,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Wisconsin,_1994",WI,wi-senate-class-i-1994,,
1994,i,Wyoming,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Wyoming,_1994",WY,wy-senate-class-i-1994,,
1996,ii,Alabama,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Alabama,_1996",AL,al-senate-class-ii-1996,,
1996,ii,Alaska,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Alaska,_1996",AK,ak-senate-class-ii-1996,,
1996,ii,Arkansas,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Arkansas,_1996",AR,ar-senate-class-ii-1996,,
1996,ii,Colorado,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Colorado,_1996",CO,co-senate-class-ii-1996,,
1996,ii,Delaware,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Delaware,_1996",DE,de-senate-class-ii-1996,,
1996,ii,Georgia,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Georgia,_1996",GA,ga-senate-class-ii-1996,,
1996,ii,Idaho,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Idaho,_1996",ID,id-senate-class-ii-1996,,
1996,ii,Illinois,,"http://en.wikipedia.org/wiki/United_States_Senate_election_in_Illinois,_1996",IL,il-senate-class-ii-1996,,
