poll_id,politician_id,office,matchup,stage,party,nyt_name,pct,last
17136,1526,ak-senate-class-ii,6300,general,,Mark Begich,47,Begich
16413,1526,ak-senate-class-ii,6300,general,,Mark Begich,49,Begich
16797,1526,ak-senate-class-ii,6300,general,,Mark Begich,46,Begich
16962,1526,ak-senate-class-ii,6300,general,,Mark Begich,49,Begich
17363,1526,ak-senate-class-ii,6300,general,,Mark Begich,49,Begich
17503,1526,ak-senate-class-ii,6300,general,,Mark Begich,51,Begich
16598,1526,ak-senate-class-ii,6300,general,,Mark Begich,52,Begich
16965,1526,ak-senate-class-ii,6300,general,,Mark Begich,48,Begich
17331,1526,ak-senate-class-ii,6300,general,,Mark Begich,48,Begich
17473,1526,ak-senate-class-ii,6300,general,,Mark Begich,50,Begich
17521,1526,ak-senate-class-ii,6300,general,,Mark Begich,52,Begich
17654,1526,ak-senate-class-ii,6300,general,,Mark Begich,44,Begich
17752,1526,ak-senate-class-ii,6300,general,,Mark Begich,47,Begich
17824,1526,ak-senate-class-ii,6300,general,,Mark Begich,45,Begich
16521,1526,ak-senate-class-ii,6300,general,,Mark Begich,58,Begich
16829,1526,ak-senate-class-ii,6300,general,,Mark Begich,48,Begich
17192,1526,ak-senate-class-ii,6300,general,,Mark Begich,50,Begich
17524,1526,ak-senate-class-ii,6300,general,,Mark Begich,47,Begich
17748,1526,ak-senate-class-ii,6300,general,,Mark Begich,48,Begich
24084,1526,ak-senate-class-ii,6300,general,,Mark Begich,51,Begich
24091,1526,ak-senate-class-ii,6300,general,,Mark Begich,48,Begich
24092,1526,ak-senate-class-ii,6300,general,,Mark Begich,56,Begich
24093,1526,ak-senate-class-ii,6300,general,,Mark Begich,56,Begich
24108,1526,ak-senate-class-ii,6300,general,,Mark Begich,44,Begich
24139,1526,ak-senate-class-ii,6300,general,,Mark Begich,47,Begich
24193,1526,ak-senate-class-ii,6300,general,,Mark Begich,44,Begich
17136,1527,ak-senate-class-ii,6300,general,,Ted Stevens,43,Stevens
16413,1527,ak-senate-class-ii,6300,general,,Ted Stevens,42,Stevens
16797,1527,ak-senate-class-ii,6300,general,,Ted Stevens,45,Stevens
16962,1527,ak-senate-class-ii,6300,general,,Ted Stevens,45,Stevens
17363,1527,ak-senate-class-ii,6300,general,,Ted Stevens,46,Stevens
17503,1527,ak-senate-class-ii,6300,general,,Ted Stevens,43,Stevens
16598,1527,ak-senate-class-ii,6300,general,,Ted Stevens,44,Stevens
16965,1527,ak-senate-class-ii,6300,general,,Ted Stevens,49,Stevens
17331,1527,ak-senate-class-ii,6300,general,,Ted Stevens,46,Stevens
17473,1527,ak-senate-class-ii,6300,general,,Ted Stevens,37,Stevens
17521,1527,ak-senate-class-ii,6300,general,,Ted Stevens,44,Stevens
17654,1527,ak-senate-class-ii,6300,general,,Ted Stevens,46,Stevens
17752,1527,ak-senate-class-ii,6300,general,,Ted Stevens,45,Stevens
17824,1527,ak-senate-class-ii,6300,general,,Ted Stevens,46,Stevens
16521,1527,ak-senate-class-ii,6300,general,,Ted Stevens,36,Stevens
16829,1527,ak-senate-class-ii,6300,general,,Ted Stevens,46,Stevens
17192,1527,ak-senate-class-ii,6300,general,,Ted Stevens,44,Stevens
17524,1527,ak-senate-class-ii,6300,general,,Ted Stevens,45,Stevens
17748,1527,ak-senate-class-ii,6300,general,,Ted Stevens,43,Stevens
24084,1527,ak-senate-class-ii,6300,general,,Ted Stevens,44,Stevens
24091,1527,ak-senate-class-ii,6300,general,,Ted Stevens,46,Stevens
24092,1527,ak-senate-class-ii,6300,general,,Ted Stevens,39,Stevens
24093,1527,ak-senate-class-ii,6300,general,,Ted Stevens,35,Stevens
24108,1527,ak-senate-class-ii,6300,general,,Ted Stevens,46,Stevens
24139,1527,ak-senate-class-ii,6300,general,,Ted Stevens,41,Stevens
24193,1527,ak-senate-class-ii,6300,general,,Ted Stevens,42,Stevens
5266,350,ak-senate-class-iii,6368,general,,Lisa Murkowski,44,Murkowski
25154,350,ak-senate-class-iii,6368,general,,Lisa Murkowski,45,Murkowski
25155,350,ak-senate-class-iii,6368,general,,Lisa Murkowski,45,Murkowski
25156,350,ak-senate-class-iii,6368,general,,Lisa Murkowski,45,Murkowski
25157,350,ak-senate-class-iii,6368,general,,Lisa Murkowski,44,Murkowski
25159,350,ak-senate-class-iii,6368,general,,Lisa Murkowski,41,Murkowski
25160,350,ak-senate-class-iii,6368,general,,Lisa Murkowski,45,Murkowski
25161,350,ak-senate-class-iii,6368,general,,Lisa Murkowski,45,Murkowski
25162,350,ak-senate-class-iii,6368,general,,Lisa Murkowski,42,Murkowski
25163,350,ak-senate-class-iii,6368,general,,Lisa Murkowski,41,Murkowski
25207,350,ak-senate-class-iii,6368,general,,Lisa Murkowski,44,Murkowski
5266,1897,ak-senate-class-iii,6368,general,,Tony Knowles,42,Knowles
25154,1897,ak-senate-class-iii,6368,general,,Tony Knowles,47,Knowles
25155,1897,ak-senate-class-iii,6368,general,,Tony Knowles,48,Knowles
25156,1897,ak-senate-class-iii,6368,general,,Tony Knowles,46,Knowles
25157,1897,ak-senate-class-iii,6368,general,,Tony Knowles,46,Knowles
25159,1897,ak-senate-class-iii,6368,general,,Tony Knowles,46,Knowles
25160,1897,ak-senate-class-iii,6368,general,,Tony Knowles,45,Knowles
25161,1897,ak-senate-class-iii,6368,general,,Tony Knowles,48,Knowles
25162,1897,ak-senate-class-iii,6368,general,,Tony Knowles,45,Knowles
25163,1897,ak-senate-class-iii,6368,general,,Tony Knowles,45,Knowles
25207,1897,ak-senate-class-iii,6368,general,,Tony Knowles,42,Knowles
5266,1899,ak-senate-class-iii,6368,general,,Jim Sykes,4,Sykes
25154,1899,ak-senate-class-iii,6368,general,,Jim Sykes,1,Sykes
25155,1899,ak-senate-class-iii,6368,general,,Jim Sykes,2,Sykes
25156,1899,ak-senate-class-iii,6368,general,,Jim Sykes,3,Sykes
25157,1899,ak-senate-class-iii,6368,general,,Jim Sykes,2,Sykes
25159,1899,ak-senate-class-iii,6368,general,,Jim Sykes,1,Sykes
25160,1899,ak-senate-class-iii,6368,general,,Jim Sykes,2,Sykes
25161,1899,ak-senate-class-iii,6368,general,,Jim Sykes,2,Sykes
25162,1899,ak-senate-class-iii,6368,general,,Jim Sykes,2,Sykes
25163,1899,ak-senate-class-iii,6368,general,,Jim Sykes,3,Sykes
25207,1899,ak-senate-class-iii,6368,general,,Jim Sykes,2,Sykes
25131,350,ak-senate-class-iii,6376,general,,Lisa Murkowski,43,Murkowski
25132,350,ak-senate-class-iii,6376,general,,Lisa Murkowski,41,Murkowski
25158,350,ak-senate-class-iii,6376,general,,Lisa Murkowski,44,Murkowski
25164,350,ak-senate-class-iii,6376,general,,Lisa Murkowski,40,Murkowski
25195,350,ak-senate-class-iii,6376,general,,Lisa Murkowski,48,Murkowski
25131,1897,ak-senate-class-iii,6376,general,,Tony Knowles,47,Knowles
25132,1897,ak-senate-class-iii,6376,general,,Tony Knowles,47,Knowles
25158,1897,ak-senate-class-iii,6376,general,,Tony Knowles,46,Knowles
25164,1897,ak-senate-class-iii,6376,general,,Tony Knowles,52,Knowles
25195,1897,ak-senate-class-iii,6376,general,,Tony Knowles,43,Knowles
26822,2459,ak-senate-class-iii,6592,general,,Frank H. Murkowski,49,Murkowski
26866,2459,ak-senate-class-iii,6592,general,,Frank H. Murkowski,48,Murkowski
26822,2569,ak-senate-class-iii,6592,general,,Tony Smith,34,Smith
26866,2569,ak-senate-class-iii,6592,general,,Tony Smith,32,Smith
26822,2570,ak-senate-class-iii,6592,general,,Mary Jordan,5,Jordan
26866,2570,ak-senate-class-iii,6592,general,,Mary Jordan,8,Jordan
17124,1536,al-senate-class-ii,6314,general,,Jeff Sessions,59,Sessions
17472,1536,al-senate-class-ii,6314,general,,Jeff Sessions,59,Sessions
17608,1536,al-senate-class-ii,6314,general,,Jeff Sessions,58,Sessions
17698,1536,al-senate-class-ii,6314,general,,Jeff Sessions,62,Sessions
17833,1536,al-senate-class-ii,6314,general,,Jeff Sessions,57,Sessions
16607,1536,al-senate-class-ii,6314,general,,Jeff Sessions,65,Sessions
16921,1536,al-senate-class-ii,6314,general,,Jeff Sessions,64,Sessions
