cycle,id,states.abbrev,start_date,end_date,sample_size,pollsters.name,population,nationwide,tracking,partisan,date_added
2012,30781,VA,11/3/12,11/5/12,828,Ipsos (online),lv,0,1,,11/5/12
2012,30783,OH,11/3/12,11/5/12,680,Ipsos (online),lv,0,1,,11/5/12
2012,30782,VA,11/3/12,11/5/12,1111,Ipsos (online),rv,0,1,,11/5/12
2012,30784,OH,11/3/12,11/5/12,1040,Ipsos (online),rv,0,1,,11/5/12
2012,30785,FL,11/3/12,11/5/12,769,Ipsos (online),lv,0,1,,11/5/12
2012,30786,FL,11/3/12,11/5/12,1197,Ipsos (online),rv,0,1,,11/5/12
2012,30791,VA,11/4/12,11/4/12,750,Rasmussen (Pulse Opinion Research),lv,0,,,11/5/12
2012,30795,MI,11/4/12,11/4/12,1305,Mitchell,lv,0,,,11/6/12
2012,30755,NV,11/3/12,11/4/12,750,PPP,lv,0,,,11/5/12
2012,30748,FL,11/3/12,11/4/12,955,PPP,lv,0,,,11/5/12
2012,30742,VA,11/3/12,11/4/12,975,PPP,lv,0,,,11/5/12
2012,30741,OH,11/3/12,11/4/12,1000,PPP,lv,0,,,11/5/12
2012,30719,FL,11/2/12,11/4/12,743,Ipsos (online),lv,0,1,,11/4/12
2012,30774,PA,11/2/12,11/4/12,507,Angus Reid,lv,0,,,11/5/12
2012,30720,FL,11/2/12,11/4/12,1107,Ipsos (online),rv,0,1,,11/4/12
2012,30794,OH,11/2/12,11/4/12,540,Angus Reid,lv,0,,,11/6/12
2012,30715,VA,11/2/12,11/4/12,662,Ipsos (online),lv,0,1,,11/4/12
2012,30717,OH,11/2/12,11/4/12,712,Ipsos (online),lv,0,1,,11/4/12
2012,30808,VA,11/2/12,11/4/12,814,JZ Analytics (online),lv,0,,,11/9/12
2012,30716,VA,11/2/12,11/4/12,1030,Ipsos (online),rv,0,1,,11/4/12
2012,30718,OH,11/2/12,11/4/12,992,Ipsos (online),rv,0,1,,11/4/12
2012,30810,FL,11/2/12,11/4/12,826,JZ Analytics (online),lv,0,,,11/9/12
2012,30809,OH,11/2/12,11/4/12,831,JZ Analytics (online),lv,0,,,11/9/12
2012,30761,OH,11/1/12,11/4/12,803,SurveyUSA,lv,0,,,11/5/12
2012,30777,OH,10/31/12,11/4/12,901,U. of Cincinnati/Ohio Poll,lv,0,,,11/5/12
2012,30683,MO,11/2/12,11/3/12,835,PPP,lv,0,,,11/4/12
2012,30665,PA,11/2/12,11/3/12,790,PPP,lv,0,,,11/4/12
2012,30681,MT,11/2/12,11/3/12,836,PPP,lv,0,,,11/4/12
2012,30666,WI,11/2/12,11/3/12,1256,PPP,lv,0,,,11/4/12
2012,30682,AZ,11/2/12,11/3/12,1080,PPP,lv,0,,,11/4/12
2012,30655,OH,11/1/12,11/3/12,1031,Ipsos (online),lv,0,1,,11/3/12
2012,30735,MN,11/1/12,11/3/12,556,SurveyUSA,lv,0,,,11/5/12
2012,30653,VA,11/1/12,11/3/12,947,Ipsos (online),lv,0,1,,11/3/12
2012,30656,OH,11/1/12,11/3/12,1212,Ipsos (online),rv,0,1,,11/3/12
2012,30753,WI,11/1/12,11/3/12,454,Angus Reid,lv,0,,,11/5/12
2012,30662,WA,11/1/12,11/3/12,932,PPP,lv,0,,,11/3/12
2012,30654,VA,11/1/12,11/3/12,1177,Ipsos (online),rv,0,1,,11/3/12
2012,30773,FL,11/1/12,11/3/12,525,Angus Reid,lv,0,,,11/5/12
2012,30637,MI,11/1/12,11/3/12,700,PPP,lv,0,,,11/3/12
2012,30657,FL,11/1/12,11/3/12,946,Ipsos (online),lv,0,1,,11/3/12
2012,30658,FL,11/1/12,11/3/12,1257,Ipsos (online),rv,0,1,,11/3/12
