id,state,start_date,end_date,methodology,sample_size,pollster,population,national,generic_candidates,other_pct,undecided_pct,margin_of_error,undecided_and_other_pct,partisan_flag,tracking
1,AL,7/22/2010,7/22/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,6,4.5,,,
2,AL,6/3/2010,6/3/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,3,7,4.5,,,
3,AL,5/25/2010,5/25/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,3,8,4.5,,,
4,AL,5/17/2010,5/19/2010,,600,Research 2000,LV,0,0,3,7,4,,,
5,AL,3/29/2010,3/29/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,3,6,4.5,,,
6,AZ,3/29/2010,3/31/2010,,600,Research 2000,LV,0,0,,15,4,,,
7,AZ,3/29/2010,3/31/2010,,600,Research 2000,LV,0,0,,13,4,,,
8,AZ,7/29/2010,7/29/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,13,6,4.5,,,
9,AZ,5/17/2010,5/17/2010,,1000,Rasmussen (Pulse Opinion Research),LV,0,0,9,9,3,,,
10,AZ,5/3/2010,5/5/2010,,600,Research 2000,LV,0,0,0,15,4,,,
11,AZ,4/23/2010,4/25/2010,,813,PPP,RV,0,0,0,19,3.4,,,
12,AZ,4/13/2010,4/13/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,7,4.5,,,
13,AZ,4/12/2010,4/25/2010,,666,BRC/Rocky Mountain,RV,0,0,0,33,3.5,,,
14,AZ,3/29/2010,3/31/2010,,600,Research 2000,LV,0,0,0,15,4,,,
15,AZ,7/29/2010,7/29/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,11,3,4.5,,,
16,AZ,5/17/2010,5/17/2010,,1000,Rasmussen (Pulse Opinion Research),LV,0,0,9,7,3,,,
17,AZ,5/3/2010,5/5/2010,,600,Research 2000,LV,0,0,,17,4,,,
18,AZ,4/23/2010,4/25/2010,,813,PPP,RV,0,0,,18,3.4,,,
19,AZ,4/13/2010,4/13/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,8,6,4.5,,,
20,AZ,4/12/2010,4/25/2010,,666,BRC/Rocky Mountain,RV,0,0,,30,3.5,,,
21,AZ,3/29/2010,3/31/2010,,600,Research 2000,LV,0,0,,15,4,,,
22,AR,5/10/2010,5/12/2010,,600,Research 2000,LV,0,0,,16,4,,,
23,AR,5/3/2010,5/5/2010,,625,Mason-Dixon,LV,0,0,,24,4,,,
24,AR,4/26/2010,4/26/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,10,9,4.5,,,
25,AR,4/26/2010,4/28/2010,,600,Research 2000,LV,0,0,,13,4,,,
26,AR,4/12/2010,4/14/2010,,600,Research 2000,LV,0,0,,12,4,,,
27,AR,3/30/2010,3/30/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,12,4.5,,,
28,AR,3/22/2010,3/24/2010,,600,Research 2000,LV,0,0,,10,4.5,,,
29,AR,3/1/2010,3/1/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,13,4.5,,,
30,AR,1/29/2010,1/31/2010,,810,PPP,RV,0,0,,21,3.4,,,
31,AR,11/30/2009,12/2/2009,,600,Research 2000,LV,0,0,,24,4,,,
32,AR,5/24/2010,5/26/2010,,600,Research 2000,LV,0,0,,5,4,,,
33,AR,5/19/2010,5/19/2010,,600,Rasmussen (Pulse Opinion Research),LV,0,0,4,3,4.5,,,
34,AR,5/10/2010,5/12/2010,,625,Research 2000,LV,0,0,,9,4,,,
35,AR,5/3/2010,5/4/2010,,600,Mason-Dixon,LV,0,0,,12,4,,,
36,AR,4/26/2010,4/26/2010,,600,Rasmussen (Pulse Opinion Research),LV,0,0,7,7,4.5,,,
37,AR,4/26/2010,4/28/2010,,500,Research 2000,LV,0,0,,11,4,,,
38,AR,4/12/2010,4/14/2010,,600,Research 2000,LV,0,0,,11,4,,,
39,AR,3/30/2010,3/30/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,8,11,4.5,,,
